episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
89,0.16511517221408,0.0,0.1795,0.7951,-0.6156,8759,2.4580298673990536e-08,5.502259308565279e-08,0.0001006496770959765
90,0.41119583480459726,0.0,0.5085999999999999,0.7951,-0.2865000000000001,8759,0.0,6.019486308118919e-08,0.00010463856625035776
91,0.259286924822636,0.0,0.29600000000000004,0.7951,-0.4991,8759,0.0,6.409842177187558e-08,0.00010492201596938204
92,0.2209357710057245,0.0,0.24719999999999998,0.7951,-0.5479,8759,0.0,5.254062540604658e-08,0.00011077395626088248
93,0.7285021350459431,0.0,1.072,0.7951,0.27690000000000003,8759,0.0,5.7524977321831025e-08,0.00010892679558706391
94,0.0943915434635606,0.0,0.099,0.7951,-0.6961,8759,0.0,6.111501689051613e-08,0.000110736154943935
95,0.38620846480695487,0.0,0.4714,0.7951,-0.32370000000000004,8759,0.0,5.466614588466941e-08,0.00011122864971907882
96,0.485054259053963,0.0,0.6243,0.7951,-0.17080000000000006,8759,0.0,5.935641878161639e-08,0.0001115939067178127
97,0.031184302991305504,0.0,0.0317,0.7951,-0.7634000000000001,8759,0.0,5.4233163993183224e-08,0.00011469689428844503
98,0.03708841518728534,0.0,0.0378,0.7951,-0.7573000000000001,8759,2.559095941438842e-08,5.0304162570530043e-08,0.00011728568533379343
99,-0.013677642809796919,0.0,-0.013600000000000001,0.7951,-0.8087,8759,0.0,5.3425593686555916e-08,0.00011991670548985353
100,0.08334412238306009,0.0,0.08689999999999999,0.7951,-0.7082,8759,0.0,4.5958930424628633e-08,0.00012058703808493121
